Rank	Russian	English	POS	Notes	Pair
1	и	and	conjunction		
2	в	in / into	preposition		
3	не	not	particle		
4	он	he	pronoun		
5	на	on / onto	preposition		
6	я	I	pronoun		
7	что	what / that	pronoun/conj		
8	тот	that	pronoun		
9	быть	to be	verb	impf	
10	с	with / from	preposition		
11	а	but / and	conjunction		
12	весь	all / whole	pronoun		
13	э́то	this / it	pronoun		
14	как	how / as	adverb/conj		
15	она́	she	pronoun		
16	по	along / by	preposition		
17	но	but	conjunction		
18	они́	they	pronoun		
19	к	to / towards	preposition		
20	его́	his / him	pronoun		
21	у	at / by	preposition		
22	ты	you (sing.)	pronoun		
23	её	her / hers	pronoun		
24	из	from / out of	preposition		
25	мы	we	pronoun		
26	их	their / them	pronoun		
27	за	behind / for	preposition		
28	вы	you (pl./formal)	pronoun		
29	так	so / thus	adverb		
30	же	(emphatic particle)	particle		
31	от	from	preposition		
32	сказа́ть	to say	verb	pf	говори́ть (impf)
33	э́тот	this	pronoun		
34	кото́рый	which / who	pronoun		
35	мочь	to be able	verb	impf	смочь (pf)
36	челове́к	person / man	noun	m	
37	о	about	preposition		
38	меня́	me (acc./gen.)	pronoun		
39	како́й	what kind of	pronoun		
40	год	year	noun	m	
41	ещё	still / more	adverb		
42	тако́й	such	pronoun		
43	то	then / that	particle/pron		
44	себя́	oneself	pronoun		
45	оди́н	one	numeral		
46	для	for	preposition		
47	до	until / up to	preposition		
48	знать	to know	verb	impf	
49	тебя́	you (acc./gen. sing.)	pronoun		
50	мой	my	pronoun		
51	до́лжен	must / obliged	adjective	short adj	
52	э́та	this (f.)	pronoun		
53	стать	to become	verb	pf	станови́ться (impf)
54	е́сли	if	conjunction		
55	ли	whether	particle		
56	сам	oneself / myself	pronoun		
57	когда́	when	adverb/conj		
58	уже́	already	adverb		
59	друго́й	other / another	adjective		
60	нет	no / there is no	particle		
61	говори́ть	to speak / say	verb	impf	сказа́ть (pf)
62	наш	our	pronoun		
63	мно́го	much / many	adverb		
64	же́нщина	woman	noun	f	
65	нас	us	pronoun		
66	да	yes / and	particle		
67	хоте́ть	to want	verb	impf	захоте́ть (pf)
68	ну	well	particle		
69	бы	would (subjunctive)	particle		
70	без	without	preposition		
71	ви́деть	to see	verb	impf	уви́деть (pf)
72	под	under	preposition		
73	про	about	preposition		
74	мо́жно	one may / possible	predicative		
75	врач	doctor	noun	m	
76	вас	you (acc./gen. pl.)	pronoun		
77	вре́мя	time	noun	n	
78	рука́	hand / arm	noun	f	
79	пе́рвый	first	adjective		
80	де́ло	matter / business	noun	n	
81	тут	here	adverb		
82	где	where	adverb		
83	сейча́с	now	adverb		
84	мне	to me	pronoun	dative	
85	раз	time / once	noun	m	
86	два	two	numeral		
87	ему́	to him / to it	pronoun		
88	там	there	adverb		
89	что́бы	in order to	conjunction		
90	глаз	eye	noun	m	
91	жизнь	life	noun	f	
92	день	day	noun	m	
93	тепе́рь	now	adverb		
94	вот	here is / there	particle		
95	сло́во	word	noun	n	
96	идти́	to go (on foot)	verb	impf	пойти́ (pf)
97	бо́льше	more / bigger	adverb		
98	по́сле	after	preposition		
99	ваш	your (pl.)	pronoun		
100	си́ла	strength / force	noun	f	
101	коне́ц	end	noun	m	
102	голова́	head	noun	f	
103	три	three	numeral		
104	хоро́ший	good	adjective		
105	сторона́	side	noun	f	
106	по́мнить	to remember	verb	impf	
107	нога́	leg / foot	noun	f	
108	поня́ть	to understand	verb	pf	понима́ть (impf)
109	ду́мать	to think	verb	impf	поду́мать (pf)
110	поду́мать	to think (a bit)	verb	pf	ду́мать (impf)
111	ме́сто	place	noun	n	
112	спроси́ть	to ask	verb	pf	спра́шивать (impf)
113	но́вый	new	adjective		
114	жить	to live	verb	impf	
115	рабо́та	work / job	noun	f	
116	зде́сь	here	adverb		
117	дом	house / home	noun	m	
118	взять	to take	verb	pf	брать (impf)
119	нельзя́	one must not	predicative		
120	де́ньги	money	noun	pl	
121	ро́вно	exactly / evenly	adverb		
122	стоя́ть	to stand	verb	impf	
123	два́жды	twice	adverb		
124	поэ́тому	therefore	adverb		
125	зна́чит	so / means	parenthetical		
126	ты́сяча	thousand	noun	f	
127	нача́ть	to begin	verb	pf	начина́ть (impf)
128	всегда́	always	adverb		
129	прийти́	to come / arrive	verb	pf	приходи́ть (impf)
130	войти́	to enter	verb	pf	входи́ть (impf)
131	каза́ться	to seem	verb	impf	показа́ться (pf)
132	мать	mother	noun	f	
133	и́мя	name	noun	n	
134	сюда́	here (to here)	adverb		
135	па́мять	memory	noun	f	
136	си́льный	strong	adjective		
137	това́рищ	comrade	noun	m	
138	почти́	almost	adverb		
139	сде́лать	to do / make	verb	pf	де́лать (impf)
140	почему́	why	adverb		
141	го́лос	voice	noun	m	
142	всё	everything / all	pronoun		
143	го́род	city	noun	m	
144	вода́	water	noun	f	
145	дава́ть	to give	verb	impf	дать (pf)
146	нача́ло	beginning	noun	n	
147	про́сто	simply	adverb		
148	вопро́с	question	noun	m	
149	земля́	earth / land	noun	f	
150	нос	nose	noun	m	
151	ну́жно	need to / necessary	predicative		
152	ходи́ть	to walk / go	verb	impf	
153	нача́ться	to begin (intr.)	verb	pf	начина́ться (impf)
154	оте́ц	father	noun	m	
155	поле́зный	useful	adjective		
156	име́ть	to have	verb	impf	
157	тёмный	dark	adjective		
158	мир	world / peace	noun	m	
159	нача́льник	boss / chief	noun	m	
160	по́лный	full	adjective		
161	четы́ре	four	numeral		
162	молодо́й	young	adjective		
163	про́тив	against	preposition		
164	дать	to give	verb	pf	дава́ть (impf)
165	дверь	door	noun	f	
166	рабо́тать	to work	verb	impf	
167	систе́ма	system	noun	f	
168	сиде́ть	to sit	verb	impf	
169	среди́	among	preposition		
170	прийти́сь	to have to	verb	pf	приходи́ться (impf)
171	ма́ленький	small	adjective		
172	пять	five	numeral		
173	писа́ть	to write	verb	impf	написа́ть (pf)
174	вдруг	suddenly	adverb		
175	нача́льный	initial	adjective		
176	выходи́ть	to go out	verb	impf	вы́йти (pf)
177	уви́деть	to see / catch sight	verb	pf	ви́деть (impf)
178	вообще́	in general	adverb		
179	ме́ньше	less	adverb		
180	война́	war	noun	f	
181	сра́зу	at once	adverb		
182	зате́м	then / after that	adverb		
183	улыба́ться	to smile	verb	impf	улыбну́ться (pf)
184	губа́	lip	noun	f	
185	мы́сль	thought	noun	f	
186	до́лго	for a long time	adverb		
187	ма́ма	mom	noun	f	
188	власть	power / authority	noun	f	
189	ноль	zero	noun	m	
190	това́р	goods / commodity	noun	m	
191	ну́жный	necessary	adjective		
192	откры́ть	to open	verb	pf	открыва́ть (impf)
193	страна́	country	noun	f	
194	уйти́	to leave	verb	pf	уходи́ть (impf)
195	па́па	dad	noun	m	
196	неде́ля	week	noun	f	
197	всё-таки	still / nevertheless	adverb		
198	держа́ть	to hold	verb	impf	
199	ма́ло	little / few	adverb		
